First Name,Middle Name,Last Name,Maiden Name,Full Name at Birth,Alternative Name,Birthday,Birthplace,Height,Weight,Zodiac Sign,Sexuality,Religion,Ethnicity,Nationality,Occupation
G.B.,,McMahan,,Pansy Catalina Ho Chiu-king,"Geszler Dorottya, Dorottya Geszler","31st August, 1970","Flushing, New York USA",,,,,,,,
Cornelius,,Gandotra,,Henry Byron Charles Stewart Warner-Lickford,"Jock Whitney, John M. Haffen","18th May, 1988","Harlem, New York, USA",,,,,,,,
Natanael,,Fariñas,,Scott Eric Weinger,Alexander Grant,"22nd November, 1902","Capital Federal, Argentina",,,,,,,,
Becca,,Dali,,Stephanie Gibson,"Odette Juliette Yustman Annable, Odette Yustman, Odette Juliette Yustman","30th August, 1991","Long Beach, California USA",,,,,,,,
Valerie,,Joshi,,Maximilian Adalbert Baer Jr.,"Erik Santos, Eric Santos, Rhoderick Ramos Santos","1st June, 1987","Muskogee, Oklahoma, USA",,,,,,,,
Gayla,,Joó,,Andrew Fetterly Wilkes-Krier,"Juan Carlos Vargas Miller, Juan Carlos Vargas Rondón, Juan Carlos Vargas","24th July, 1994","Naha, Okinawa, Japan",,,,,,,,
Mónika,,Bosidis,,Jorge Agustin Aravena Macias,Paul Prenter,"21st April, 1994","Burnaby, British Columbia, Canada",,,,,,,,
Abbi,,Rehan,,Alexa Chung,"Sly, Sylvester Stallone, The Italian Stallion, Binky, Michael Sylvester Gardenzio Stallone, Sylvester Gardenzio Stallone","18th May, 1996","Bartlett, Illinois, USA",,,,,,,,
Coi,,Mandre,,Chloe Linda Daisy Margaret Sims,Zanffy,"24th December, 1913","Saint Mary's County, Maryland",,,,,,,,
Timur,,Ramette,,Carla Gilberta Bruni Tedeschi,Valerie Allen,"29th May, 1894","Curvelo, Minas Gerais, Brazil",,,,,,,,
Poppy,,Couture,,Harshvardhan Rane,"Camille Adèle Léa de Seguins Pazzis d'Aubignan, Camille de Pazzis","14th September, 1970","Jeonju, Korea",,,,,,,,
Tiani,,Reeder,,Arbaaz Khan,"Ashley, Ashley Massaro, Barbie, Ashley M. Massaro, Ashley Marie Massaro, Mackenzie Ryan, Ryan MacKenzie","28th October, 1984","San Fernando Valley, CA",,,,,,,,
Noah,,Kerekes,,Yulia Aleksandrovna Lemigova,"A. Onur Saylak, Arif Onur Saylak","25th May, 1917",Brussels,,,,,,,,
Serayah,,Bachleda-Curus,,Victor Ramos Ferreira,Tilk,"31st October, 1956","Prince George's County, Maryland",,,,,,,,
Szabina,,Hererra,,Gabriela Cerna,"Annie Andersen, Annie Andersin, Andersinn, Annie AnderSinn, Annie Anderson, Annie Ander Sinn","6th December, 1947","Park Ridge, Illinois, USA",,,,,,,,
Venus,,Feehily,,Samuel Cook,"Hannah Williams, Hannah Annette Williams","24th August, 1984","Kamianske, Ukraine",,,,,,,,
Cassidy,,Linhares,,Majoros Péter,"Kathie Durst, Kathleen McCormack, Kathleen McCormack Durst, Kathleen Durst, Kathie McCormack","30th November, 1930","Zile, Tokat",,,,,,,,
Alys,,Lemire,,William Taylor Garnett,"Mary Sean Young, Sean Young","19th January, 1972","Kingston upon Thames, Surrey, England, United Kingdom",,,,,,,,
Roy,,Guy,,Miguel Arturo Layún Prado,"Albert P. Scott, Al P. Scott, Al Scott","6th August, 2002","Benghazi, Libya",,,,,,,,
Herman,,Wei,,Wanda Maria Ribeiro Furtado Tavares de Vasconcelos,"Mary Lucy Denise Henner, Marilu Henner, Marilu","20th September, 1998","Yalta, Crimea, URSS",,,,,,,,
Nicki,,Villalonga,,Thomas Wesley Pentz,Valeria Zoppello,"30th December, 1993","Galveston, Texas USA",,,,,,,,
Chaka,,Brixius,,Ileana D'Cruz,"Robert H. Klein, Robert Klein","2nd August, 1921","Bahia Blanca, Buenos Aires, Argentina",,,,,,,,
Lorinc,,Ostrom,,Przemys³aw Cypriañski,"Zachary Sherman, Zach Sherman","23rd October, 1984","Canterbury, Kent, England, UK",,,,,,,,
Ann,,Jarmyn,,Janina Valdez,"Nick Carr,, Nikos Leonardos","5th September, 1987","São Sebastião, Setúbal, Portugal",,,,,,,,
Alexis,,Develi,,Tiffany Watson,"Haley Cureton, Haley","23rd September, 1903","Kansas, USA",,,,,,,,
Shirley,,Olivieri,,Matthew Noszka,"Ryo-chan, Dokkun (by Yokoyama), Nishi-yan, Nishiki, Ryochan",7th December,"Brockton, Massachusetts",,,,,,,,
Norris,,Daniels,,Stephen Demetre Georgiou,"Sassy, The Divine One, The Velvet Fox, Sailor, ""Sassy"", ""The Divine One"", ""Sailor""","10th April, 1960","Tours, France",,,,,,,,
Nicole,,Holloway,,Alice Hannah Meiqui Greczyn,Steven Strait,"18th June, 1994","Amalienborg Palace, Copenhagen, Denmark",,,,,,,,
Efraim,,Albicocco,,Elizabeth Victoria Montgomery,"Twiggy Lawson, Lesley Hornby, Lesley Lawson, Twiggy Hornby, Twiggy","23rd October, 1987","Sednaya, Syria",,,,,,,,
Ally,,Gassett,,Mauro Damián Rosales,"Августа Миклашевская, Augusta Miklashevskaya","20th June, 1998","Osorno, Chile",,,,,,,,
CiCi,,Graninger,,Daria Schuman Halprin,Karen D Lambros,"11th August, 1937","Las Condes, Santiago Metropolitan Region, Chile",,,,,,,,
Chrysti,,Boda,,Malgosia Tomassi,"Jennifer Johanna Akerman, Jennifer Akerman","17th November, 1953","Baja California, México",,,,,,,,
Thorbjørn,,Macpherson,,Nafisa Joseph,"The Black Mamba, Kobe Bean Bryant, Kobe Bryant","20th May, 1894","Ciudad Evita, GBA",,,,,,,,
Beyoncé,,Maharis,,Johnny Satana,Ece Sukan,"10th February, 1992","San Marcos, California, USA",,,,,,,,
Sheron,,Samrat,,Khloe Terae,Andi,"21st November, 1922","Maitland, Florida, USA",,,,,,,,
Steffen,,Littler,,Peter Rolf Ingvar Storm,Renato Estêvão,"9th June, 1967","Lewisville, Texas, USA",,,,,,,,
Roxy,,Babcock,,Katherine Ursula Towle,"Killa Cam, Cam'ron, Cameron Ezike Giles, Scampi Man","19th April, 1975",Casablanca,,,,,,,,
Berry,,Aikman,,María Gracia Omegna Vergara,"Brian Patrick Kehoe, Kehoe","13th October, 1966","Snyder, Texas",,,,,,,,
Szabolcs,,Nadiadwala,,Jonathan William Davis,Jt,"4th December, 1914","Forlì, Forlì-Cesena, Emilia-Romagna",,,,,,,,
Algernod,,Hansen,,Monifa Carter,"Shelley, Shelley Hennig, Shelley Catherine Hennig","13th May, 1945",September 1975 (age 45),,,,,,,,
Gore,,Allen,,Genc Prelvukaj,"Devon, Devon Windsor, Devon Elizabeth Windsor","12th August, 1933","Philadelphia, Pennsylvania",,,,,,,,
Sonja,,Cleverly,,Heather Joan Graham,"Yamna Carolina Lobos Astorga, Yamna Lobos","8th December, 1996","Deva, Hungary",,,,,,,,
Sanaa,,Goglia,,Victoria Elizabeth Kheel,"Lilly, Lillian Pulitzer Rousseau, Lillian Lee McKim, Lilly Pulitzer","21st July, 1927",Washington State,,,,,,,,
Jannik,,Wheelock,,Vaness Costello Hawke,Alexander Knox,"21st February, 1959","Weston, Florida, USA",,,,,,,,
Maja,,Rachelle,,William Cunnigham Deane-Taylor,"Susan Johnson, Marilyn Jeanne Johnson, Susan Johnson-Kehn","22nd October, 1969","Perris, California USA",,,,,,,,
Antonio,,Watrouse,,Rahul Roy Kapoor,"Maria Luisa Pierangeli;, Marisa Pavan","3rd February, 1944","Charlestown, Pendleton, Lancashire, England, UK",,,,,,,,
Stefan,,Spriggs,,Hannah Cornett,"Vasco Rossi, Blasco","6th April, 1910","Pantabangan, Nueva Ecija, Philippines",,,,,,,,
Rosario,,Luv,,John Lloyd Mills Young,Isa,"30th January, 1993","Nazareth, Palestine (now Israel)",,,,,,,,
Jello,,Spidell,,Jolyn Christine Heutmaker,Bobbie Seidman Garfield,"23rd April, 1990","Frauenfeld, Switzerland",,,,,,,,
Haruka,,Melling,,Kelly M. Garrette,"Sammy, Samantha DuBarry Lockwood, Samantha DuBarry Yurosek Lockwood, Samantha Lockwood, Samantha Yurosek Lockwood","24th January, 1946","North Carolina, USA",,,,,,,,
Andrzej,,Warne,,Richard Bean,Taneish 'Lava' Simpson,"27th December, 1966","Middletown, Indiana, USA",,,,,,,,
Oana,,Goldthwait,,Milton Robert Krims,Aimee Mann,"25th April, 1964","Vestal, New York, USA",,,,,,,,
Yllka,,Ressler,,Samantha Fekete,Samantha Williams,"7th June, 1917","East End of London, England",,,,,,,,
Demaris,,Devill,,Joseph McDonald,"Nancy Evelyn Humphries, Nancy O'Dell, Nancy","11th January, 1984","Stockport, Greater Manchester, England, UK",,,,,,,,
A,,Preslav,,Daniel Lhuillier Miranda,"Lil' Michael, Lera, Valeriia Kaufman, Valeriya Kaufman, Valeriya Kiseleva, Valeriya Yuryevna Kiseleva, Valery Ka, Valery Kaufman, Вале́рия Киселёва, Валери Кауфман, Валерия Кауфман, Валерия Киселева, Валерия Юрьевна Киселева","13th March, 1998","Pico Rivera, California, USA",,,,,,,,
Kivanc,,Marinova,,José Daniel Camillo,Pollyanna McIntosh,"25th September, 1967","Aldershot, England, UK",,,,,,,,
Alisia,,Donlevy,,Carol Diahann Johnson,"Rakul Preet Singh, Rakul Singh, Rakul Preet, Rakul","17th February, 1987","Jackson Heights, Queens, New York City, New York, USA",,,,,,,,
Baudouin,,Felstead,,Jamal Rashid,"Lyle Talbot, Lysle Henderson","27th July, 1975","Dallas, Texas, United States",,,,,,,,
Anthony,,Buaiz,,Quentin James Reynolds,"Brandon Bruce Lee, Brandon Lee, Lý Quốc Hào","11th May, 1997","Autlán de Navarro, Jalisco, Mexico",,,,,,,,
Lee,,Leissner,,Brian Green,Vesela Marinova-Savino,"21st May, 1969","Cagayan de Oro, Mindanao, Philippines",,,,,,,,
Ismael,,Santo,,Chad Johnson,"Monique, Monica Anna Maria Bellucci, Monica Bellucci","31st March, 1988","Yasnaya Polyana, Krapivna district, Tula province, Russian Empire",,,,,,,,
Nil,,Gesztesi,,Eduardo Capetillo Vásquez,Amber Priddy,"22nd March, 1944","West Springfield, MA",,,,,,,,
Yukti,,Alfoldy,,Dante Terrell Smith,"Pamela, Pamela Gail Hensley, Pamela Gail Hensley Vincent, Pamela Hensley, Pamela Hensley Vincent","7th June, 1936","Fort Lauderdale, Florida USA",,,,,,,,
Jenesis,,Barbosa,,Benjamin Percival Schulberg,"Misty Regan, Misty, Misty Blonde, Misty Blue, Misty Mallory, Misty Malory, Misty Middleton, Misty Raegen, Misty Reagan, Tamara West, Misty Blackmore, Misty Munroe, Misty Monroe, Misty Ragen","15th July, 1936","Lisbon,Portugal",,,,,,,,
Pen,,Loomis,,Josette Jeanne Marie Petot,"Alyssa Arcè, Alyssa Maria Arcè, Aly","5th May, 1948","Java, Indonesia",,,,,,,,
Channing,,Squerciati,,Joseph Stephenson Crane,"Gia, Petite Professional, GiaNina Marie Paolantonio, GiaNina Paolantonio","20th July, 1978","Johannesburg, Transvaal, South Africa",,,,,,,,
Ysmael,,Raina,,Hannah Davis,Rosie,"9th December, 1992","Wheeling, West Virginia, USA",,,,,,,,
Mikki,,Glücksburg,,Richard Neal Scott,"Catherine Ann Keener, Catherine Keener, Catherine","28th August, 1907","Lenox, Iowa",,,,,,,,
Frida,,Zavacky,,Celia Hammond,Courtney Sixx,"23rd March, 1994","Marseille, Bouches-du-Rhône, France",,,,,,,,
Courtney,,Kimura,,Jimmy Butler III,"Randy Danson, Randall Gosch, Randall Lee Gosch","16th October, 1986","Saskatchewan, Canada",,,,,,,,
Thoby,,Foxcroft,,Warren Leslie McCanless,"Skin Diamond, Raylin Christensen, Raylin Joy Christensen, Raylin Joy, Skin, Raylin J. Christensen","6th September, 1888","Missouri, USA",,,,,,,,
Evanna,,Ratcliff,,Mariana Alicia Garza Alardín,Alice Goodwin,"19th December, 1969","Dartmouth, Nova Scotia, Canada",,,,,,,,
Alektra,,Sobreira,,Dena Reeves Kindred,Lorena Medina,"29th August, 1959","Almond, Wisconsin, U.S.",,,,,,,,
Tayo,,Theodoracopulos,,Ralph Vitti,"Zouzou, Danièle Ciarlet","3rd August, 1994","Austin,Texas,USA",,,,,,,,
Eugénie,,Baur,,Safaree Lloyd Samuels,"Hyapatia, Hypatia, Vickie lynch, Hyapatia Lee, Victoria Lynch","1st January, 1956","Abelardo Luz, Brazil",,,,,,,,
Selangie,,Pis,,Sarah Victoria Higginson,"Stacey Hirsch, Alexis Fontaine, Stacey Briana Bernstein, Alexis Fontayne, Stacey, Alexis Fountaine","27th May, 1989","Lwów, Poland [now Lviv, Ukraine]",,,,,,,,
Kledi,,Lamphere,,Béres Anett,"Shelby Ann Narito Rabara, Shelby Ann Rabara, Shelby Rabara","13th January, 1972","San Bernardino County, California, USA",,,,,,,,
Pilar,,Guidry,,Rosetta Duncan,"Victor Ortiz, Vicious","29th September, 1954","Stockton, CA, USA",,,,,,,,
Ruth St.,,Gadecki,,Skylar H. Satenstein,Caral Glazier Gimbel Lebworth,"31st May, 1947","Andorra, Principat d'Andorra",,,,,,,,
Willy,,Ravn,,Halima Sadia khan,Lily,"25th March, 1899",Fontainebleau,,,,,,,,
Blaine,,Duarte,,Sanjay Kapur,"Kim Gloss, Kimgloss, Kim ""Gloss"" Debkowski","1st October, 1896","Plantation, Florida, USA",,,,,,,,
Enhle,,Foureira,,Minnie Dupree,"Marie Hall, Mimi Hall, Marie Mimi Hall","7th August, 1992","Daugavpils, Latvia",,,,,,,,
Tamar,,Fenton,,Edward Heddy Jr.,"Grace Maria Radziwill, Grace Maria Kolin, Grace Maria Ward","8th May, 1928","Sherman Oaks, California, USA",,,,,,,,
Jean-Christophe,,Felker,,Scott Niemeyer,"Kenny Wilson, Ginger Fish","8th May, 1980","Poquoson, Virginia, USA",,,,,,,,
Misty,,Kinison,,Amy Meredith Poehler,"Janszieka Deutsch, Yancsi Dolly, Jancsi Dolly, Jennie Dolly, Jenny Dolly","21st March, 1944","San Carlos, Río San Juan, Nicaragua",,,,,,,,
Oleg,,Vesely,,Hornyák Ádám,"Big Foot, Martin Kane, Test, T.J. Thunder, The Punisher, Andrew ""Test"" Martin, Andrew Martin","23rd November, 1967","Slidell, LA",,,,,,,,
Niamh,,Balvanera,,Anthony Stern,Arabella Chi,"18th February, 1988","Skokie, Illinois USA",,,,,,,,
Per,,Sobel,,Charlotte-Letitia Crosby,"Val Valentine, Valia Valentinoff, Vladimir Valentinov, Pietro Monetti, Valya Valentinoff, William Daixel","9th September, 1968","Merzig, Saarland, Germany",,,,,,,,
Fatboy,,Ruais,,Jessica Ann Ussery,"Patty Griffin, Patricia Jean Griffin","18th March, 1981","La Fayette, Alabama, United States",,,,,,,,
Tia,,Barwuah,,Stephen Charles Jones,"Bobbie Lynn Grund, Roberta Lynn Grund, Bobbie Thomas, Bobbie","7th October, 1924","Ferrara, Italy",,,,,,,,
Gautam,,Subotic,,Crystal Yost,"Tim Witherspoon Jr, Tim Witherspoon","25th September, 1995","Paris, Ile-De-France",,,,,,,,
Laurette,,Mell,,Ariadna Thalia Sodi Miranda,"Naty, Natalia Oreiro","1st June, 2000","Southfield, Michigan USA",,,,,,,,
Chang-Wook,,Milian,,Sara Jean Underwood,"Jordan Davies, Jordan Weekender","5th October, 1951","Woolwich, London, England",,,,,,,,
Masaki,,Caicedo,,Walter Joseph Candoli,Nikka Martinez,"19th October, 1981","New Smyrna Beach, Florida, USA",,,,,,,,
Fredi,,Gunns,,Estella Renee Gardinier,"Haystak (Mak Million), Jason Winfree, Haystak Mak Million, Mak Million","9th March, 1942","Olongapo City, Philippines",,,,,,,,
Reka,,Govou,,Donald Ray Williams,Aleksandra Szwed,"31st March, 1965","Bhopal, Madhya Pradesh",,,,,,,,
Ooi,,Fisco,,Aarika Wolf,"Aj, Amy Jo Johnson","17th September, 1997","Hastings, Nebraska, USA",,,,,,,,
Osi,,Villarama,,Laisa Andrioli,"Timothy Allen McIntosh, Tim McIntosh, Timothy McIntosh, Tim MacIntosh","16th April, 1981","Canastota, New York",,,,,,,,
Bernard,,Spector,,Sally Clare Kellerman,"Eleanor Irene Mery, Eleanor Berry, Eleanore Berry, Eleanor Moore","10th June, 1901","Brighton, East Sussex, England",,,,,,,,
Dusty,,Wiman,,Molnár Tibor Attila,"Wojciech Tomasz Szczęsny, Wojciech Szczęsny","29th January, 1941","Portland, Maine, USA",,,,,,,,
Burcu,,Mauer,,William Milton Asher,"Alysa, Alysha, Gapolexa, Lora, Alisya","15th July, 1913","Sioux City, IA",,,,,,,,
Beau,,Corradi,,Judith Kernke,"Rob Kardashian, Robert, Robbie, Rob, Robert Arthur Kardashian Jr., Robert Kardashian","16th June, 1975","Monte Grande, GBA",,,,,,,,
Cédric,,Landey,,Ursula Brooks,"Holly, Holly Wellit, Kelly Wellin, Holly Weller, Hollie Wellin, Holly Wellins, Holly Wellen","21st February, 1952","Cassine, Italy",,,,,,,,
Augusto,,Hagman,,Anne Collings,"Eduardo Santamarina, Eduardo Hernández García, Eduardo García Santamaria, Eduardo Hernandez García Santamarina, Eduardo Hernández García-Santamarina","19th February, 1975","Lipscomb, Alabama USA",,,,,,,,
Cheetah,,Shipka,,Trevon De'Sean Diggs,John Udentahl,"12th July, 1995","Minneapolis, Minnesota United States",,,,,,,,
Emraan,,Anand,,Jon Kortajarena Redruello,Brett Ryland,"14th July, 1988","Beckley, West Virginia, U.S.",,,,,,,,
Marie,,Leveson-Gower,,Willa Joanna Chance Holland,"Luciana Miranda Fuster Guzmán, Luciana Fuster Guzmán, Luciana Fuster","16th October, 1938","Mostoles, Madrid, Spain",,,,,,,,
Xiaogang,,Hays,,Declan Cluskey,"Cube, Ice Cube, O'Shea Jackson, O'Shea Jackson Sr.","1st January, 1964","Bethesda, Maryland, USA",,,,,,,,
Kari,,Faldini,,Gina L. Gershon,"Karen Stagliano, Patricia Deveraux, Trisha Devereaux, Trica Devoroux, Tricia Devero, Tricia Deveraux","30th August, 1973","Delhi, Louisiana, USA",,,,,,,,
Collier,,Sabala,,Richard Giannotti,"Adelle Byrne, Bonnie","10th September, 1982",México,,,,,,,,
Skeeter,,Colby,,Josina Cornelia Huisman,Shannon de Lima,"18th September, 1993","Beirut, Lebanon",,,,,,,,
Levi,,Fabrizio,,Jamie Gayle Shupak,Fabian Forte,"19th May, 1976","Liverpool, Lancashire, England",,,,,,,,
Zuri,,Amaya,,Riyad Karim Mahrez,"Natalia Martínez Streignard Negri, Natalia Streignard","24th October, 1966","Hollywood Presbyterian Hospital, Hollywood, Los Angeles, California, USA",,,,,,,,
Alec,,Larsen,,Jessica Mazzoli,"Emma Willis, Emma Louise Willis, Emma Louise Griffiths, Emma Louise Griffiths Willis","26th November, 1945","Tateyama, Chiba, Japan",,,,,,,,
Leland,,Duru,,Nadia Tamara Ferreira,"Arnon de Mello Neto, Arnon Neto, Arnon de Mello","21st September, 1895","Washington Heights, Manhattan, New York City, New York, USA",,,,,,,,
Yorgos,,Gaylord,,Andrew Taggart,estradac11,"24th February, 1923","Titusville, Florida, USA",,,,,,,,
Lucile,,Fenn,,Joseph Patrick Esposito,"The 'Ping' Girl, The Blonde Bomber, The Chest, Frances Lillian Mary Ridste, Carole Landis","29th March, 1963","Tarzana, California",,,,,,,,
Daiane,,Gregson,,Bader Shammas,Oh Se-hun,"10th February, 1937","Sonipat, Haryana, India",,,,,,,,
Arnon,,Robitaille,,Patrick Joesph McGuinness,Maria Cherlettenbur,"7th August, 1914","Oak Park, California, USA",,,,,,,,
Ekin,,Seater,,Steven Paul Jobs,"Keter Pan, Keats","15th August, 1998","Edgware, Middlesex, England, UK",,,,,,,,
Marietta,,Crescendo,,Dallas Leigh Lovato,Rita Volk,"11th September, 1977","Kathmandu, Nepal",,,,,,,,
Reine,,Nicolas,,Drashti Dhami,"Rolf Römer, Rolf Specht","14th October, 1994","Vila Nova de Gaia, Porto, Portugal",,,,,,,,
Alden  (Peter),,Stephanopoulos,,Valerie Olukemi A Olusanya,Bonnie Anderson,"16th December, 1997","Tucson, Arizona, U.S.",,,,,,,,
Frank,,Cymone,,David Giuntoli,"Samuel Smith, Sam Smith, Sam, Smith","23rd March, 1978","La Guaira, Venezuela",,,,,,,,
Miroslav,,Calainho,,Mészáros Lőrinc,"YoungBoy Never Broke Again, NBA YoungBoy, YoungBoy, Yb, A.I. YoungBoy, Lil Top, Kentrell DeSean Gaulden","31st March, 1964","Lake Arrowhead, CA",,,,,,,,
Ottavia,,Kier,,Pritika Swarup,"Jin Cheng Wu, Gam Sing Mo, Aniki","31st January, 1981","Richmond, Surrey, England, UK",,,,,,,,
Shiv,,Nicola,,Kiefer William Frederick Dempsey George Rufus Sutherland,Beatrix of the Netherlands,"25th January, 1979","Juazeiro do Norte, Ceara, Brazil",,,,,,,,
Vinod,,Louie,,Deborah Vidacovich,"Irv Gotti, DJ Irv, Gotti","17th June, 1984","Vicente Lopez, GBA,",,,,,,,,
Alyshia,,Ambrose,,Colin Rand Kaepernick,Kimberly,"19th December, 1941","Valley Center, San Diego, California, USA",,,,,,,,
Gunilla,,Zappa,,Simon Charles Pendered MacCorkindale,Joel Roux Neville,"4th December, 1968","West Bromwich, West Midlands, England, UK",,,,,,,,
London,,Adamczak,,Allan Pinkerton Carlisle,Clark Schädelkopf,"28th September, 2000","Redwood City, California, USA",,,,,,,,
Francis Joseph,,Dano,,Florence Eugène,"Mario Maurer of the Philippines, Troy Ponce","10th November, 1946","Bordeaux, Aquitaine, Occitania, France",,,,,,,,
Dilly,,Mason,,Jeff Fiorentino,Murat Nalcacioglu,"27th April, 1994","Stringtown, Oklahoma, United States",,,,,,,,
Laury,,Niiranen,,Camilla Malmquist-Harket,"Malika Haqq, Malika Anjail Haqq, Malika","8th August, 1975","The Hague, Netherlands",,,,,,,,
Carissa,,Ten Caten,,Cesar Julio Romero Jr.,Pauly,"23rd December, 1922",Moscow,,,,,,,,
Calli,,Hales,,Kimberly Anne McCullough,"Erin Kristine Ludwig Ziering, Erin Ludwig Ziering","8th August, 1984","Massapequa, Long Lsland, New York USA",,,,,,,,
Laz,,Langton,,André Tamás Balázs,"Broadway Joe, The Hungarian Howitzer, Joe Willie","2nd December, 1980","Warsaw,  Mazowieckie, Poland",,,,,,,,
Milton,,Snoddy,,Kenza Fourati,"Sandi Taylor, Sandra Korn, Sandi Butt-Korn, Sandi Korn, Penthouse Pet Of The Month Miss March 1991, Sandra Lisa Korn","25th November, 1970","Redbridge, London, England, UK",,,,,,,,
Chance,,Landers,,John Addington Symonds,"Vinessa Elizabeth Shaw, Vinessa Shaw","29th October, 1977","Wakefield, Yorkshire, England, UK",,,,,,,,
Benjámin,,Charisse,,Mario Suárez Mata,"Tasha de Vasconcelos da Mota e Cunha, Tasha Sandra Mota e Cunha de Vasconcelos, Tasha de Vasconcelos, Tasha, Sandra de Vasconcelos da Mota e Cunha","27th September, 1973",Nicaragua,,,,,,,,
Takala,,Yrivarren,,Nathalie Jessica Morales Perez,"Molnár-Odri Attila, Attila Molnár-Odri, Molnár Attila, Attila Molnár","31st July, 1994","Markham, York, Ontario, Canada",,,,,,,,
Panio,,Cuesta,,Harvey Robert Cummins,David Coiro,"15th May, 1963",Plettenberg,,,,,,,,
Urska,,Esguerra,,Anahi Giovanna Puente Portilla,Blu Cantrell,"30th October, 1986","Goshen, Indiana, USA",,,,,,,,
Rani,,Colleran,,James Vincent McNichol III,Elisabeth Nelson,"10th July, 1999","Magdeburg, Germany",,,,,,,,
Phaedra,,Mauricette,,Courtney Lorraine Soto,"Hannah B, Hannah B., Alabama Hannah, Hannah Beast, Hannah","6th May, 1960","West Hampstead, London, England",,,,,,,,
Cazuza,,Vacchi,,Brian Kerwin,"Carrots, Frances Natividad, Francesca 'Kitten' Natividad, Francesca Isabel Natividad, Kitten Natividad","3rd November, 1971","Hahira, Georgia, USA",,,,,,,,
Alejo,,Waitress,,Justine Tanya Bateman,"Prince of the South, #1 HeadBussa, Darryl Richardson II, Darryl Kevin Richardson II, Lil Scrappy","6th October, 1955","Bascom, Florida, USA",,,,,,,,
Shalani,,Walrod,,Heidi Jo Mueller,"Nádai Anikó, Aniko Nadai, VV4 Anikó, VV Anikó, ÉNB Anikó","11th August, 1959","Angeles, California, USA",,,,,,,,
Kayle,,Perello,,Cassandra Ann Randolph,Mikey P,"11th June, 1973","Horsham, Sussex, England, UK",,,,,,,,
Cathleen,,Albertsen,,Thomas J. Escott,Frederick Moulton Alger,"18th May, 1984","Kettering, Ohio, USA",,,,,,,,
Loretta,,Bellisario,,Abraham Singer,"Maxx, Maxene Sofia Maria Arroyo Magalona-Mananquil, Maxene Sofia Maria Arroyo Magalona, Maxene Magalona","3rd January, 1986","Oceanside, California, U.S.",,,,,,,,
Mylene,,Magician,,Henry Jaynes Fonda,"Angel, Angel Carlyle, Tami Moore, Darcy Derringer, Tammi Monroe, Angle Carlyle, Darcy Darenger, Courtney Hill","12th November, 1978","Bayonne, France",,,,,,,,
Mackinzie,,Dennings,,Melissa Gohing-Nacino,J. Austin Boggan,"3rd May, 1997","Stratford-upon-Avon, Warwickshire, England, UK",,,,,,,,
Jérôme,,Páez,,Ukrainian: Окса́на Сергі́ївна Баю́л; Oksana Serhiyivna Baiul  Russian: Окса́на Серге́евна Баю́л; Oksana Sergeyevna Baiul,Nerimon,"11th April, 1990","Prescott, Nevada County, Arkansas, USA",,,,,,,,
Colt,,Ki,,Jack Paris Brinkley-Cook,"Rajni Spider, Adah Sarma, Adah Sharma, Chamundeswari Iyer","2nd July, 1946","Tsentralny District, Saint Petersburg, Russia",,,,,,,,
Krenar,,Wetson,,Maria da Graça Meneghel,"Ali, Alison Courtney Pill, Alison Pill, Al","25th June, 2006","Medellín, Colombia",,,,,,,,
Murray,,Vorderman,,Max Fine,"Mark, Ultimate Bad Boy of the Dance Floor, Ultimate Male StarStruck Survivor","18th February, 1977","Atherton, California",,,,,,,,
Magnus,,Lefebvre,,Melvin Epstein,"Ruth Wilson, Ruth","7th August, 1942","Chireno, Texas, USA",,,,,,,,
Lalainia,,Carlos,,Ninian Joseph Yule Jr.,Enzo Pineda,"5th June, 1987","Santa Cruz de Lorica, Colombia",,,,,,,,
Wissam,,Nattielle Mendes,,Polly Ann Young,Miss August 1982,"2nd May, 1958","Rhode Island, USA",,,,,,,,
Muhammad,,Ismail,,Ryan Keith Dorsey,"Claudelle Kaye, Elizabeth Keith, Isabelle Keep, Isobel Keep","17th December, 1944","Hokkaido, Japan",,,,,,,,
Adil,,Kissen,,Blair Herter,"Aaliya, Anjana Kishor Pandey, Aaliya Siddiqui, Anjali Siddiqui, Anjali Kishor Pandey, Zainab","24th March, 1924","Bristol, Avon, England, UK",,,,,,,,
Ceyda,,Gründgens,,Lauren Keyana Palmer,"Peter Max Finkelstein, Peter Max","31st July, 1896","LaCrosse, Wisconsin, USA",,,,,,,,
Gianluca,,Garzilli,,Tobias Ademide Aromolaran,Minnie Cushing Beard Coleman,"15th March, 1966","Kensington, London, England, UK",,,,,,,,
Ellen Meriam,,Tenco,,Willie Hugh Nelson,"Caroline Lee Bouvier, Lee Radziwill","11th December, 1984","Caballito, Buenos Aires, Argentina",,,,,,,,
Shawn,,Parisi,,Joseph Alberic Twisleton-Wykeham-Fiennes,JoAnn Maione,"14th September, 1959","Bombay, Bombay State, Dominion of India",,,,,,,,
Yuna,,Küçükçaglayan,,Michael Joseph Jackson,Uncle Willie,"6th November, 1966","Winchester, Virginia, USA",,,,,,,,
Kartal,,Irving,,Tracy Lauren Marrow,Ryan,"3rd March, 1991","Cambridge, MA",,,,,,,,
Parveen Shahani,,Dellera,,Gustav Heinrich Arnold Gründgens,"Jorge Ricardo Rial, Jorge Rial","15th March, 1926","Tongji Hospital, Wuhan, Hubei, China",,,,,,,,
